name,type,significance,Coord A,Coord B,Coord C,Coord D
Arabian Sea Fleet Air Defense Zone,Carrier Battle Group Air Defense Training Area,Practice of coordinated fleet air defense with carrier-based aircraft,"[15.0, 65.0]","[15.0, 70.0]","[20.0, 70.0]","[20.0, 65.0]"
Eastern Seaboard Integrated Air Defense Sector,Multi-Layer Air Defense Exercise Zone,Coordination of ship-based and coastal air defense systems,"[15.0, 82.0]","[15.0, 85.0]","[19.0, 85.0]","[19.0, 82.0]"
Lakshadweep Islands Air Defense Perimeter,Island Chain Air Defense Training Area,Practice of air defense for scattered island territories,"[8.0, 72.0]","[8.0, 74.0]","[12.0, 74.0]","[12.0, 72.0]"
Andaman and Nicobar Air Defense Exercise Zone,Long-Range Maritime Air Defense Area,Training in extended range air defense for remote island chains,"[6.0, 92.0]","[6.0, 94.0]","[14.0, 94.0]","[14.0, 92.0]"
Gujarat Coast Air Defense Sector,Coastal Air Defense Training Zone,Practice of defending strategic coastal installations from air threats,"[20.0, 68.0]","[20.0, 72.0]","[23.0, 72.0]","[23.0, 68.0]"
Bay of Bengal Fleet Air Defense Training Area,Large-Scale Naval Air Defense Exercise Zone,Coordination of multiple ship and aircraft groups for air defense,"[12.0, 85.0]","[12.0, 90.0]","[16.0, 90.0]","[16.0, 85.0]"
Mumbai High Offshore Air Defense Zone,Critical Infrastructure Air Defense Area,Training in air defense of offshore oil and gas installations,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Visakhapatnam Naval Base Air Defense Sector,Strategic Asset Air Defense Training Zone,Practice of multi-layered air defense for key naval facilities,"[17.0, 83.0]","[17.0, 84.0]","[18.0, 84.0]","[18.0, 83.0]"
Kochi Naval Air Station Defense Exercise Area,Airfield Defense Training Zone,Simulations of defending naval air bases from aerial attacks,"[9.5, 76.0]","[9.5, 76.5]","[10.0, 76.5]","[10.0, 76.0]"
Karwar Naval Base Air Defense Sector,Advanced Naval Facility Air Defense Zone,Training in protecting modern naval infrastructure from air threats,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Chilika Air Defense Training Sector,Low-Altitude Air Defense Exercise Zone,Practice of countering low-flying aircraft and cruise missiles,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Port Blair Air Defense Perimeter,Island Capital Air Defense Training Area,Exercises in defending key administrative centers on strategic islands,"[11.5, 92.5]","[11.5, 93.0]","[12.0, 93.0]","[12.0, 92.5]"
Kakinada Offshore Air Defense Zone,Gas Field Air Defense Training Area,Practice of air defense for offshore energy infrastructure,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Goa Naval Aviation Air Defense Sector,Maritime Patrol Aircraft Base Defense Zone,Training in protecting naval air assets and facilities,"[15.0, 73.5]","[15.0, 74.0]","[15.5, 74.0]","[15.5, 73.5]"
Dwarka Point Air Defense Exercise Area,Coastal Radar Station Defense Zone,Practice of integrating coastal radar with air defense systems,"[22.0, 68.5]","[22.0, 69.0]","[22.5, 69.0]","[22.5, 68.5]"
Car Nicobar Air Base Defense Sector,Forward Airfield Protection Training Zone,"Exercises in defending remote, strategic air bases","[9.0, 92.5]","[9.0, 93.0]","[9.5, 93.0]","[9.5, 92.5]"
Kalpakkam Nuclear Facility Air Defense Zone,Critical National Asset Air Defense Area,Training in air defense of nuclear installations near coast,"[12.5, 80.0]","[12.5, 80.5]","[13.0, 80.5]","[13.0, 80.0]"
Porbandar Air Defense Exercise Sector,Forward Operating Base Air Defense Zone,Practice of air defense for naval detachments and forward bases,"[21.5, 69.5]","[21.5, 70.0]","[22.0, 70.0]","[22.0, 69.5]"
Sundarbans Delta Air Defense Training Area,Low-Level Air Intrusion Defense Zone,Training in detecting and countering low-altitude air threats in complex terrain,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Minicoy Island Air Defense Sector,Remote Island Air Defense Training Zone,"Practice of air defense for isolated, strategic island outposts","[8.0, 72.5]","[8.0, 73.5]","[9.0, 73.5]","[9.0, 72.5]"
Paradip Port Air Defense Exercise Area,Major Port Facility Air Defense Zone,Training in air defense of critical maritime trade infrastructure,"[20.0, 86.5]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Lakshadweep Sea Extended Air Defense Zone,Over-the-Horizon Air Defense Training Area,Practice of long-range air threat detection and engagement,"[10.0, 70.0]","[10.0, 74.0]","[14.0, 74.0]","[14.0, 70.0]"
Andaman Sea Air-Sea Integration Zone,Combined Air-Naval Defense Exercise Area,Training in coordinated air and naval defense operations,"[11.0, 92.0]","[11.0, 94.0]","[13.0, 94.0]","[13.0, 92.0]"
Kavatti Island Radar Picket Training Zone,Early Warning Radar Defense Exercise Area,Practice of integrating forward radar pickets with air defense network,"[10.5, 72.5]","[10.5, 73.0]","[11.0, 73.0]","[11.0, 72.5]"
Nicobar Islands Southern Air Defense Sector,Strategic Chokepoint Air Defense Zone,Training in air defense of critical maritime passages,"[6.5, 93.5]","[6.5, 94.5]","[7.5, 94.5]","[7.5, 93.5]"
Arabian Sea Western Sector Air Patrol,Long-Range Maritime Reconnaissance Zone,Extended surveillance of western approaches to Indian waters,"[15.0, 60.0]","[15.0, 68.0]","[20.0, 68.0]","[20.0, 60.0]"
Bay of Bengal Eastern Sector Air Patrol,Wide-Area Maritime Surveillance Zone,Monitoring of eastern seaboard and approaches,"[10.0, 85.0]","[10.0, 90.0]","[18.0, 90.0]","[18.0, 85.0]"
Lakshadweep Sea Air Surveillance Sector,Island Territory and EEZ Patrol Zone,Aerial monitoring of Lakshadweep Islands and surrounding waters,"[8.0, 71.0]","[8.0, 75.0]","[14.0, 75.0]","[14.0, 71.0]"
Andaman Sea Air Reconnaissance Area,Far Eastern Maritime Patrol Zone,Surveillance of Andaman Sea and western approaches to Malacca Strait,"[6.0, 91.0]","[6.0, 96.0]","[14.0, 96.0]","[14.0, 91.0]"
Gujarat Coastal Air Patrol Sector,Northwestern Maritime Border Surveillance Zone,Aerial monitoring of India-Pakistan maritime border and approaches,"[20.0, 68.0]","[20.0, 72.0]","[24.0, 72.0]","[24.0, 68.0]"
Southern Peninsula Coastal Air Surveillance Sector,Multi-Coastal Zone Patrol Area,"Aerial monitoring of Kerala, Tamil Nadu, and southern Andhra Pradesh coasts","[8.0, 76.0]","[8.0, 80.0]","[15.0, 80.0]","[15.0, 76.0]"
Northern Bay of Bengal Air Reconnaissance Zone,Tri-Nation Maritime Border Surveillance Area,Aerial patrols near India-Bangladesh-Myanmar maritime boundaries,"[18.0, 87.0]","[18.0, 93.0]","[21.0, 93.0]","[21.0, 87.0]"
Nicobar Islands Southern Approach Air Patrol,Far South Eastern Maritime Surveillance Zone,Monitoring of southern approaches to Andaman and Nicobar Islands,"[5.0, 91.0]","[5.0, 95.0]","[8.0, 95.0]","[8.0, 91.0]"
Central Arabian Sea Extended Air Patrol,Deep Sea Long-Range Reconnaissance Zone,Far-reaching patrols for maritime domain awareness in central Arabian Sea,"[12.0, 60.0]","[12.0, 68.0]","[18.0, 68.0]","[18.0, 60.0]"
Odisha-West Bengal Coastal Air Surveillance Sector,Eastern Seaboard Patrol Zone,Aerial monitoring of upper east coast and offshore areas,"[18.0, 84.0]","[18.0, 88.0]","[22.0, 88.0]","[22.0, 84.0]"
Strait of Malacca Approach Air Reconnaissance Zone,Strategic Waterway Monitoring Area,Long-range patrols observing western entrance to Malacca Strait,"[4.0, 92.0]","[4.0, 96.0]","[8.0, 96.0]","[8.0, 92.0]"
Gujarat-Maharashtra Coastal Transition Air Patrol,Western Seaboard Surveillance Zone,Aerial monitoring of transition between northwestern and west-central coast,"[18.0, 70.0]","[18.0, 73.0]","[22.0, 73.0]","[22.0, 70.0]"
Palk Bay-Gulf of Mannar Air Surveillance Sector,India-Sri Lanka Maritime Border Patrol Zone,Aerial monitoring of narrow waters between India and Sri Lanka,"[8.0, 78.0]","[8.0, 80.0]","[10.0, 80.0]","[10.0, 78.0]"
Sundarbans-Bangladesh Border Air Reconnaissance Area,Complex Delta Region Surveillance Zone,Aerial patrols over intricate waterways of Sundarbans and maritime border,"[21.0, 88.0]","[21.0, 90.0]","[23.0, 90.0]","[23.0, 88.0]"
Lakshadweep-Malabar Coast Transition Air Patrol,Island-Mainland Connection Surveillance Zone,Monitoring maritime traffic between Lakshadweep and Kerala coast,"[8.0, 73.0]","[8.0, 76.0]","[12.0, 76.0]","[12.0, 73.0]"
Karwar-Goa Naval Air Patrol Sector,Western Naval Command Southern Flank Surveillance,Aerial monitoring of important naval bases and surrounding waters,"[14.0, 73.0]","[14.0, 74.5]","[16.0, 74.5]","[16.0, 73.0]"
Vizag-Chilika Coastal Air Reconnaissance Zone,Eastern Naval Command Core Area Patrol,Aerial surveillance of critical eastern naval facilities and approaches,"[17.0, 83.0]","[17.0, 86.0]","[20.0, 86.0]","[20.0, 83.0]"
Kanyakumari-Gulf of Mannar Air Patrol Sector,Southern Tip Maritime Surveillance Zone,Monitoring of maritime traffic rounding the southern tip of India,"[7.5, 77.0]","[7.5, 79.0]","[9.5, 79.0]","[9.5, 77.0]"
Little Andaman-Car Nicobar Channel Air Surveillance,Inter-Group Island Passage Patrol Zone,Monitoring maritime activities between Andaman and Nicobar Island groups,"[9.0, 92.0]","[9.0, 93.0]","[11.0, 93.0]","[11.0, 92.0]"
Mumbai High Offshore Air Patrol Sector,Critical Infrastructure Surveillance Zone,Aerial monitoring of vital offshore oil and gas installations,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Porbandar-Dwarka Coastal Air Surveillance Area,Northwestern Coastal Defense Zone,Aerial patrols of sensitive northwestern coastline,"[21.0, 68.5]","[21.0, 70.0]","[23.0, 70.0]","[23.0, 68.5]"
Paradip-Haldia Coastal Air Reconnaissance Sector,Upper East Coast Port Approach Surveillance,Monitoring of major port approaches and offshore activities,"[20.0, 86.5]","[20.0, 88.5]","[22.0, 88.5]","[22.0, 86.5]"
Kochi-Mangalore Coastal Air Patrol Zone,Malabar Coast Surveillance Sector,Aerial monitoring of Kerala and Karnataka coasts,"[9.5, 75.0]","[9.5, 76.5]","[13.0, 76.5]","[13.0, 75.0]"
North Andaman Extended Air Reconnaissance Zone,Far North Eastern Maritime Patrol Area,Long-range patrols covering northern Andaman Sea,"[12.0, 91.0]","[12.0, 95.0]","[15.0, 95.0]","[15.0, 91.0]"
Saurashtra Peninsula Coastal Air Surveillance,Western Seaboard Midpoint Patrol Zone,Aerial monitoring of Gujarat's southern coastline and approaches,"[20.0, 69.0]","[20.0, 72.0]","[22.5, 72.0]","[22.5, 69.0]"
Andaman Islands Amphibious Landing Zone,Island Assault Training Area,Practice of large-scale amphibious landings on varied beach types,"[12.0, 92.5]","[12.0, 93.0]","[13.0, 93.0]","[13.0, 92.5]"
Gujarat Coast Amphibious Exercise Area,Shallow Water Landing Zone,Training in amphibious operations in areas with high tidal variations,"[21.5, 69.5]","[21.5, 70.5]","[22.5, 70.5]","[22.5, 69.5]"
Lakshadweep Islands Amphibious Assault Zone,Coral Atoll Landing Exercise Area,"Practice of amphibious operations on small, defended island territories","[10.5, 72.0]","[10.5, 73.0]","[11.5, 73.0]","[11.5, 72.0]"
Visakhapatnam Amphibious Training Sector,Eastern Seaboard Landing Exercise Zone,Large-scale amphibious exercises involving Eastern Naval Command,"[17.0, 82.5]","[17.0, 83.5]","[18.0, 83.5]","[18.0, 82.5]"
Goa Beach Assault Training Area,Western Coastal Amphibious Zone,Combined arms training in amphibious and beach landing operations,"[15.0, 73.5]","[15.0, 74.0]","[15.5, 74.0]","[15.5, 73.5]"
Car Nicobar Amphibious Defense Exercise Zone,Remote Island Defense Training Area,"Practice of defending and retaking small, strategic islands","[8.5, 92.5]","[8.5, 93.0]","[9.5, 93.0]","[9.5, 92.5]"
Chilika Lake Amphibious Operations Area,Lagoon and Coastal Transition Landing Zone,Training in transitions from lagoon to coastal amphibious operations,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Kakinada Bay Amphibious Exercise Sector,Mangrove and Delta Landing Zone,Practice of amphibious operations in complex coastal environments,"[16.5, 82.0]","[16.5, 82.5]","[17.0, 82.5]","[17.0, 82.0]"
Karwar Naval Base Amphibious Training Area,Advanced Amphibious Warfare Exercise Zone,Integration of naval special forces in amphibious operations,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Sundarbans Delta Amphibious Patrol Zone,Riverine-Coastal Transition Exercise Area,Training in amphibious operations in delta and mangrove environments,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Pamban Bridge Assault Training Zone,Strategic Infrastructure Seizure Exercise Area,Practice of amphibious operations to secure critical coastal infrastructure,"[9.0, 79.0]","[9.0, 79.5]","[9.5, 79.5]","[9.5, 79.0]"
Kochi Backwaters Amphibious Maneuver Area,Inland Waterway Assault Training Zone,Exercises in transitioning from sea to inland waterway operations,"[9.5, 76.0]","[9.5, 76.5]","[10.0, 76.5]","[10.0, 76.0]"
Sagar Island Amphibious Landing Zone,River Mouth Assault Training Area,Practice of securing strategic river delta positions,"[21.5, 88.0]","[21.5, 88.5]","[22.0, 88.5]","[22.0, 88.0]"
Kavatti Island Commando Insertion Area,Small Island Covert Landing Zone,Training for special forces in clandestine amphibious insertions,"[10.5, 72.5]","[10.5, 73.0]","[11.0, 73.0]","[11.0, 72.5]"
Paradip Port Amphibious Assault Zone,Port Seizure Exercise Area,Training in amphibious operations to capture and secure port facilities,"[20.0, 86.5]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Little Andaman Island Beachhead Establishment Zone,Remote Beach Landing Exercise Area,Practice of establishing and expanding beachheads on remote islands,"[10.5, 92.0]","[10.5, 92.5]","[11.0, 92.5]","[11.0, 92.0]"
Mundra Port Amphibious Raid Exercise Area,Commercial Port Defense Training Zone,Simulations of defending and recapturing major commercial ports,"[22.5, 69.5]","[22.5, 70.0]","[23.0, 70.0]","[23.0, 69.5]"
Mahanadi Delta Amphibious Maneuver Zone,River Delta Assault Training Area,Exercises in navigating and securing complex river delta regions,"[20.0, 86.0]","[20.0, 87.0]","[20.5, 87.0]","[20.5, 86.0]"
Kavaratti Island Defense Exercise Zone,Coral Island Fortification Training Area,Practice of defending and counter-attacking on small coral islands,"[10.5, 72.0]","[10.5, 72.5]","[11.0, 72.5]","[11.0, 72.0]"
Daman and Diu Amphibious Assault Training Area,Historical Fort Recapture Exercise Zone,Simulations of recapturing historical coastal fortifications,"[20.3, 72.5]","[20.3, 73.0]","[20.8, 73.0]","[20.8, 72.5]"
Netrani Island Vertical Assault Training Zone,Helicopter-borne Amphibious Landing Area,Practice of combined helicopter and waterborne amphibious assaults,"[14.0, 74.3]","[14.0, 74.5]","[14.5, 74.5]","[14.5, 74.3]"
Bhitarkanika Mangrove Amphibious Exercise Area,Ecological Sensitive Zone Landing Practice,Training in minimal impact amphibious operations in protected areas,"[20.5, 86.5]","[20.5, 87.0]","[21.0, 87.0]","[21.0, 86.5]"
Minicoy Island Lagoon Assault Training Zone,Atoll Lagoon Amphibious Exercise Area,Practice of breaching and securing atoll lagoon entrances,"[8.0, 73.0]","[8.0, 73.5]","[8.5, 73.5]","[8.5, 73.0]"
Machilipatnam Coastal Swamp Landing Zone,Marshland Amphibious Operation Area,Training in amphibious movements through coastal swamps and marshes,"[15.5, 80.5]","[15.5, 81.0]","[16.0, 81.0]","[16.0, 80.5]"
Elephanta Island Historical Assault Training Area,Urban-Coastal Interface Landing Zone,Practice of amphibious operations in historically significant coastal areas,"[18.9, 72.9]","[18.9, 73.0]","[19.0, 73.0]","[19.0, 72.9]"
Arabian Sea Deep Water ASW Zone,Deep Sea Submarine Detection Exercise Area,Training in long-range submarine detection and tracking,"[15.0, 65.0]","[15.0, 70.0]","[20.0, 70.0]","[20.0, 65.0]"
Bay of Bengal ASW Training Sector,Multi-Layer ASW Exercise Zone,"Integrated air, surface, and subsurface ASW operations","[12.0, 85.0]","[12.0, 90.0]","[16.0, 90.0]","[16.0, 85.0]"
Lakshadweep Sea Shallow Water ASW Area,Littoral ASW Training Zone,Exercises in detecting submarines in complex shallow water environments,"[10.0, 72.0]","[10.0, 74.0]","[12.0, 74.0]","[12.0, 72.0]"
Andaman Sea ASW Exercise Zone,Strategic ASW Choke Point Training Area,Submarine detection exercises near critical maritime passages,"[10.0, 92.0]","[10.0, 94.0]","[13.0, 94.0]","[13.0, 92.0]"
Gujarat Coast ASW Patrol Sector,Coastal Submarine Defense Exercise Zone,Training in protecting coastal waters from submarine intrusion,"[20.0, 68.0]","[20.0, 70.0]","[22.0, 70.0]","[22.0, 68.0]"
Eastern Seaboard Deep Water ASW Zone,Advanced Submarine Hunting Exercise Area,Training with advanced sonar systems in varying depth conditions,"[13.0, 82.0]","[13.0, 85.0]","[16.0, 85.0]","[16.0, 82.0]"
Southern Peninsula ASW Training Area,Multi-Environment ASW Exercise Zone,Submarine detection training in diverse oceanographic conditions,"[7.0, 76.0]","[7.0, 79.0]","[10.0, 79.0]","[10.0, 76.0]"
Nicobar Islands ASW Barrier Exercise Zone,Island Chain ASW Defense Training Area,Exercises in creating ASW barriers between island groups,"[6.0, 92.0]","[6.0, 94.0]","[9.0, 94.0]","[9.0, 92.0]"
Mumbai-Goa Coastal ASW Sector,Littoral Warfare Training Zone,Shallow water ASW exercises near major naval bases,"[15.0, 72.0]","[15.0, 73.5]","[19.0, 73.5]","[19.0, 72.0]"
Northern Bay of Bengal ASW Practice Area,Riverine Outflow ASW Training Zone,ASW exercises in complex water conditions due to river deltas,"[19.0, 87.0]","[19.0, 90.0]","[21.0, 90.0]","[21.0, 87.0]"
Central Arabian Sea ASW Zone,Blue Water ASW Exercise Area,Long-range submarine detection and engagement training,"[16.0, 62.0]","[16.0, 66.0]","[20.0, 66.0]","[20.0, 62.0]"
Kanyakumari ASW Convergence Zone,Multi-Directional Approach ASW Training Area,Exercises in monitoring submarine activities at oceanic junctions,"[6.0, 77.0]","[6.0, 79.0]","[8.0, 79.0]","[8.0, 77.0]"
Malacca Strait Approach ASW Zone,Strategic Waterway ASW Exercise Area,Training in submarine detection near critical international sea lanes,"[5.0, 94.0]","[5.0, 96.0]","[7.0, 96.0]","[7.0, 94.0]"
Vizag Forward ASW Training Sector,Eastern Naval Command ASW Exercise Zone,Advanced ASW training near major submarine base,"[16.0, 82.0]","[16.0, 84.0]","[18.0, 84.0]","[18.0, 82.0]"
Nine Degree Channel ASW Patrol Zone,Island Territory Defense ASW Area,ASW exercises to protect sea lanes around Lakshadweep,"[9.0, 72.0]","[9.0, 74.0]","[10.0, 74.0]","[10.0, 72.0]"
Andaman Sea Deep Trench ASW Zone,Extreme Depth ASW Training Area,Exercises in detecting deep-diving submarines in varying bathymetry,"[9.0, 91.0]","[9.0, 93.0]","[11.0, 93.0]","[11.0, 91.0]"
Karwar Advanced ASW Training Range,Next-Generation ASW Technology Testing Zone,Trials of new ASW sensors and weapons systems,"[14.0, 73.0]","[14.0, 74.0]","[15.0, 74.0]","[15.0, 73.0]"
Sunda Strait Approach ASW Monitoring Zone,Alternative Strait ASW Exercise Area,Training in monitoring submarine activities near secondary straits,"[6.0, 103.0]","[6.0, 105.0]","[8.0, 105.0]","[8.0, 103.0]"
Laccadive Sea ASW Exercise Sector,Comprehensive ASW Training Zone,Multi-platform coordinated ASW exercises,"[8.0, 73.0]","[8.0, 76.0]","[11.0, 76.0]","[11.0, 73.0]"
Dondra Head ASW Patrol Area,Southern Sri Lanka ASW Exercise Zone,ASW training in high-traffic international shipping lane,"[5.5, 80.0]","[5.5, 82.0]","[7.0, 82.0]","[7.0, 80.0]"
Porbandar ASW Training Sector,Northwestern Coastal ASW Zone,Shallow water ASW exercises in strategic coastal area,"[21.0, 68.0]","[21.0, 70.0]","[22.5, 70.0]","[22.5, 68.0]"
Paradip-Haldia ASW Exercise Area,Bay of Bengal Western Rim ASW Zone,ASW training near major ports and offshore installations,"[20.0, 87.0]","[20.0, 89.0]","[22.0, 89.0]","[22.0, 87.0]"
