name,type,significance,Coord A,Coord B,Coord C,Coord D
Gulf of Khambhat Entrance Patrol Area,High Tidal Range Navigation Zone,Monitoring of vessel movements in challenging tidal conditions,"[21.0, 71.5]","[21.0, 72.5]","[22.0, 72.5]","[22.0, 71.5]"
Minicoy Island Maritime Buffer Zone,Southernmost Indian Territory Surveillance Area,Monitoring of vessel traffic near southern Lakshadweep,"[8.0, 72.5]","[8.0, 73.5]","[9.0, 73.5]","[9.0, 72.5]"
Gwadar Port Approach Monitoring Zone,Chinese-operated Port Surveillance Area,Observation of maritime activities around strategic Pakistani port,"[24.5, 61.5]","[24.5, 62.5]","[25.5, 62.5]","[25.5, 61.5]"
Trincomalee Harbor Approach Watch Area,Strategic Sri Lankan Port Monitoring Zone,Surveillance of vessel movements near major naval base,"[8.5, 81.0]","[8.5, 82.0]","[9.5, 82.0]","[9.5, 81.0]"
Sundarbans Delta Maritime Frontier,India-Bangladesh Riverine Border Zone,Monitoring of complex waterways and prevention of illegal crossings,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Car Nicobar - Nancowry Channel,Inter-Island Passage Surveillance Zone,Monitoring of vessel movements between central Nicobar Islands,"[8.0, 92.5]","[8.0, 93.5]","[9.0, 93.5]","[9.0, 92.5]"
Indira Point Maritime Frontier,Southernmost Indian Territory Watch Zone,Surveillance of approaches to Nicobar Islands from the south,"[6.5, 93.5]","[6.5, 94.5]","[7.5, 94.5]","[7.5, 93.5]"
Arabian Sea Western Patrol Zone,Naval Patrol Area,Anti-piracy operations and maritime security,"[14.0, 60.0]","[14.0, 65.0]","[20.0, 65.0]","[20.0, 60.0]"
Lakshadweep Sea Surveillance Zone,Maritime Surveillance Area,Protection of island territories and EEZ monitoring,"[8.0, 71.0]","[8.0, 74.0]","[12.0, 74.0]","[12.0, 71.0]"
Bay of Bengal Eastern Fleet Operating Area,Naval Exercise Zone,Fleet readiness and interoperability training,"[12.0, 85.0]","[12.0, 90.0]","[16.0, 90.0]","[16.0, 85.0]"
Andaman Sea Strategic Passage,Critical Maritime Chokepoint,Monitoring of maritime traffic near Andaman Islands,"[10.0, 92.0]","[10.0, 94.0]","[14.0, 94.0]","[14.0, 92.0]"
Gulf of Mannar Patrol Sector,Coastal Security Zone,Prevention of illegal activities and resource protection,"[8.0, 78.0]","[8.0, 79.5]","[9.5, 79.5]","[9.5, 78.0]"
Mumbai High Offshore Security Zone,Critical Infrastructure Protection Area,Security of offshore oil and gas installations,"[19.0, 71.0]","[19.0, 72.5]","[20.5, 72.5]","[20.5, 71.0]"
Strait of Hormuz Approach Monitoring Area,Strategic Observation Zone,Monitoring of oil tanker traffic and regional tensions,"[24.0, 58.0]","[24.0, 60.0]","[26.0, 60.0]","[26.0, 58.0]"
Southern Bay of Bengal ASW Training Area,Anti-Submarine Warfare Exercise Zone,Submarine detection and engagement practice,"[5.0, 85.0]","[5.0, 90.0]","[10.0, 90.0]","[10.0, 85.0]"
Goa Naval Air Station Patrol Sector,Maritime Air Patrol Zone,Aerial surveillance and SAR operations,"[14.5, 73.0]","[14.5, 74.5]","[16.0, 74.5]","[16.0, 73.0]"
Nicobar Islands Southern Approach,Maritime Border Surveillance Zone,Monitoring of southern maritime border and ship traffic,"[6.0, 92.0]","[6.0, 95.0]","[8.0, 95.0]","[8.0, 92.0]"
Gujarat Coastal Patrol Area,Coastal Security Zone,Monitoring of maritime border with Pakistan,"[20.0, 68.0]","[20.0, 70.0]","[23.0, 70.0]","[23.0, 68.0]"
Eastern Arabian Sea Anti-Piracy Zone,Counter-Piracy Patrol Area,Prevention of piracy and armed robbery at sea,"[12.0, 65.0]","[12.0, 70.0]","[16.0, 70.0]","[16.0, 65.0]"
Kochi Naval Base Operating Area,Naval Exercise Zone,Training and readiness operations for Southern Naval Command,"[9.0, 75.0]","[9.0, 77.0]","[11.0, 77.0]","[11.0, 75.0]"
Malacca Strait Approach Monitoring Zone,Strategic Maritime Chokepoint,Surveillance of critical shipping lane,"[4.0, 94.0]","[4.0, 98.0]","[6.0, 98.0]","[6.0, 94.0]"
Vishakhapatnam Fleet Exercise Area,Naval Exercise Zone,Eastern Fleet combat readiness drills,"[15.0, 82.0]","[15.0, 84.0]","[17.0, 84.0]","[17.0, 82.0]"
Trincomalee Approach Monitoring Zone,Strategic Observation Area,Monitoring naval activities near Sri Lankan waters,"[8.0, 81.0]","[8.0, 82.5]","[9.5, 82.5]","[9.5, 81.0]"
North Arabian Sea Extended Patrol Zone,Maritime Security Patrol Area,Counter-terrorism and anti-smuggling operations,"[20.0, 60.0]","[20.0, 65.0]","[24.0, 65.0]","[24.0, 60.0]"
Sundarbans Delta Maritime Surveillance Area,Coastal Security Zone,Monitoring of sensitive ecosystem and prevention of illegal activities,"[21.0, 88.0]","[21.0, 89.5]","[22.5, 89.5]","[22.5, 88.0]"
Port Blair Naval Command Operational Area,Naval Command Zone,Andaman and Nicobar Command's primary operational space,"[11.0, 92.0]","[11.0, 93.5]","[12.5, 93.5]","[12.5, 92.0]"
Karwar Naval Base Exercise Zone,Naval Training Area,Western Fleet training and readiness operations,"[14.0, 73.5]","[14.0, 74.5]","[15.0, 74.5]","[15.0, 73.5]"
Gulf of Kutch Maritime Patrol Sector,Coastal Patrol Zone,Monitoring of oil tanker traffic and offshore installations,"[22.0, 68.0]","[22.0, 70.0]","[23.5, 70.0]","[23.5, 68.0]"
Cochin Shipyard Security Zone,Critical Infrastructure Protection Area,Security of strategic shipbuilding facilities,"[9.5, 76.0]","[9.5, 76.5]","[10.0, 76.5]","[10.0, 76.0]"
Paradip Port Approach Surveillance Area,Port Security Zone,Monitoring of merchant vessel traffic and port security,"[19.5, 86.5]","[19.5, 87.0]","[20.5, 87.0]","[20.5, 86.5]"
Laccadive Sea Anti-Submarine Patrol Zone,ASW Operations Area,Submarine detection and tracking exercises,"[7.0, 74.0]","[7.0, 76.0]","[9.0, 76.0]","[9.0, 74.0]"
Gwadar Port Monitoring Zone,Strategic Observation Area,Surveillance of Chinese naval activities in Pakistan,"[24.5, 61.5]","[24.5, 62.5]","[25.5, 62.5]","[25.5, 61.5]"
Kavaratti Island Maritime Security Zone,Island Territory Protection Area,Security of Lakshadweep administrative capital,"[10.5, 72.0]","[10.5, 73.0]","[11.5, 73.0]","[11.5, 72.0]"
Porbandar Coastal Surveillance Sector,Coastal Monitoring Zone,Maritime border surveillance near Pakistan,"[21.0, 69.0]","[21.0, 70.0]","[22.0, 70.0]","[22.0, 69.0]"
Campbell Bay Forward Operating Base,Naval Outpost Zone,Southernmost Indian military base for Strait of Malacca surveillance,"[6.5, 93.5]","[6.5, 94.5]","[7.5, 94.5]","[7.5, 93.5]"
Kadmat Island Exclusive Economic Zone Patrol,EEZ Protection Area,Monitoring of fishing activities and resource protection,"[11.0, 72.0]","[11.0, 73.0]","[12.0, 73.0]","[12.0, 72.0]"
Kanyakumari Maritime Junction Observation Zone,Strategic Waterway Monitoring Area,Surveillance of ships transitioning between Arabian Sea and Bay of Bengal,"[7.0, 77.0]","[7.0, 78.5]","[8.5, 78.5]","[8.5, 77.0]"
Chilika Lake Naval Air Station Patrol Sector,Naval Aviation Operations Area,Maritime patrol aircraft training and operations,"[19.0, 85.0]","[19.0, 86.0]","[20.0, 86.0]","[20.0, 85.0]"
Bhavnagar Shipbreaking Monitoring Zone,Environmental Security Area,Surveillance of ship dismantling activities and pollution prevention,"[21.0, 72.0]","[21.0, 72.5]","[21.5, 72.5]","[21.5, 72.0]"
Andaman Sea Humanitarian Assistance and Disaster Relief Zone,HADR Preparedness Area,Staging area for rapid response to natural disasters in the region,"[10.0, 91.0]","[10.0, 93.0]","[12.0, 93.0]","[12.0, 91.0]"
Lakshadweep Anti-Poaching Patrol Sector,Fisheries Protection Zone,Prevention of illegal fishing and protection of marine resources,"[10.0, 71.5]","[10.0, 73.5]","[12.0, 73.5]","[12.0, 71.5]"
Sunda Strait Approach Monitoring Zone,Strategic Chokepoint Surveillance Area,Monitoring maritime traffic between Indian and Pacific Oceans,"[-7.0, 104.0]","[-7.0, 106.0]","[-5.0, 106.0]","[-5.0, 104.0]"
Minicoy Island Forward Operating Base,Naval Outpost Zone,Southernmost base in Lakshadweep for extended maritime patrols,"[8.0, 72.5]","[8.0, 73.5]","[9.0, 73.5]","[9.0, 72.5]"
Kochi Underwater Acoustic Range,Submarine Testing Area,Calibration and testing of submarine sonar systems,"[9.5, 75.5]","[9.5, 76.5]","[10.5, 76.5]","[10.5, 75.5]"
Car Nicobar Air Base Patrol Sector,Air Defense Identification Zone,Aerial surveillance and interception operations,"[8.0, 92.0]","[8.0, 94.0]","[10.0, 94.0]","[10.0, 92.0]"
Preparis Channel Monitoring Area,Maritime Border Surveillance Zone,Monitoring of India-Myanmar maritime border,"[14.0, 93.0]","[14.0, 95.0]","[15.5, 95.0]","[15.5, 93.0]"
Gulf of Mannar Biosphere Reserve Patrol Zone,Marine Protected Area,Conservation enforcement and anti-poaching operations,"[8.5, 78.0]","[8.5, 79.5]","[9.5, 79.5]","[9.5, 78.0]"
Visakhapatnam Submarine Base Security Zone,Critical Naval Infrastructure Protection Area,Security of submarine pens and support facilities,"[17.5, 83.0]","[17.5, 83.5]","[18.0, 83.5]","[18.0, 83.0]"
Dwarka Offshore Wind Farm Security Zone,Renewable Energy Infrastructure Protection Area,Security of offshore wind installations,"[22.0, 68.5]","[22.0, 69.5]","[23.0, 69.5]","[23.0, 68.5]"
Kakinada Deep Water Port Approach Zone,Port Security Area,Monitoring of large vessel traffic and anti-smuggling operations,"[16.5, 82.0]","[16.5, 82.5]","[17.0, 82.5]","[17.0, 82.0]"
Little Andaman Island Radar Station Coverage,Long-Range Radar Surveillance Zone,Early warning and maritime domain awareness,"[10.0, 91.5]","[10.0, 93.5]","[11.5, 93.5]","[11.5, 91.5]"
Karwar Advanced Technology Vessel (ATV) Testing Range,Nuclear Submarine Trial Area,Sea trials and testing of indigenous nuclear submarines,"[14.5, 73.5]","[14.5, 74.5]","[15.5, 74.5]","[15.5, 73.5]"
Rameswaram Coastal Security Network,Integrated Coastal Surveillance System,Monitoring of Palk Strait and prevention of illegal activities,"[9.0, 79.0]","[9.0, 79.5]","[9.5, 79.5]","[9.5, 79.0]"
Andaman Sea Exclusive Economic Zone Enforcement Area,EEZ Protection Zone,Resource protection and law enforcement in distant EEZ,"[6.0, 91.0]","[6.0, 95.0]","[10.0, 95.0]","[10.0, 91.0]"
Goa Shipyard Limited Security Perimeter,Naval Shipbuilding Facility Protection Zone,Security of warship construction and repair facilities,"[15.3, 73.7]","[15.3, 74.0]","[15.5, 74.0]","[15.5, 73.7]"
Konkan Coast Mine Countermeasures Exercise Area,Naval Mine Warfare Training Zone,Training in detection and neutralization of naval mines,"[15.0, 72.5]","[15.0, 73.5]","[16.0, 73.5]","[16.0, 72.5]"
Kalpakkam Nuclear Power Plant Maritime Security Zone,Critical Infrastructure Protection Area,Security of coastal nuclear installations,"[12.3, 80.0]","[12.3, 80.3]","[12.6, 80.3]","[12.6, 80.0]"
Katchal Island Forward Operating Base,Remote Island Naval Outpost,Extended range patrols and surveillance in Andaman Sea,"[7.5, 93.0]","[7.5, 94.0]","[8.5, 94.0]","[8.5, 93.0]"
Hooghly River Estuary Patrol Zone,Riverine and Coastal Patrol Area,Security of approach to Kolkata Port and prevention of smuggling,"[21.5, 87.5]","[21.5, 88.5]","[22.5, 88.5]","[22.5, 87.5]"
Lakshadweep Sea Underwater Acoustic Surveillance System,Submarine Detection Network,Long-range detection of submarine movements,"[8.0, 72.0]","[8.0, 74.0]","[12.0, 74.0]","[12.0, 72.0]"
Netrani Island Naval Gunnery Range,Naval Weapons Testing Area,Live-fire exercises and weapons calibration,"[14.0, 74.0]","[14.0, 74.5]","[14.5, 74.5]","[14.5, 74.0]"
Kutch Creek Amphibious Training Zone,Amphibious Warfare Exercise Area,Training for amphibious landing operations,"[23.0, 68.5]","[23.0, 69.5]","[23.5, 69.5]","[23.5, 68.5]"
Mahanadi Delta Coastal Surveillance Network,Integrated Coastal Defense System,Monitoring of coastal waters and prevention of infiltration,"[19.5, 85.5]","[19.5, 87.0]","[20.5, 87.0]","[20.5, 85.5]"
Sagar Island Maritime Security Zone,Estuarine Patrol Area,Security of Hooghly River mouth and coastal surveillance,"[21.5, 88.0]","[21.5, 88.5]","[22.0, 88.5]","[22.0, 88.0]"
Kavaratti Underwater Acoustic Range,Sonar Testing Facility,Calibration and testing of naval sonar systems,"[10.0, 71.5]","[10.0, 72.5]","[11.0, 72.5]","[11.0, 71.5]"
Karwar Nuclear Submarine Base Security Zone,Strategic Asset Protection Area,Security of nuclear submarine pens and support facilities,"[14.5, 74.0]","[14.5, 74.5]","[15.0, 74.5]","[15.0, 74.0]"
Sundarbans Anti-Smuggling Patrol Zone,Riverine Border Security Area,Prevention of cross-border smuggling and illegal activities,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Vizhinjam Deep Sea Port Security Perimeter,Port Infrastructure Protection Zone,Security of upcoming strategic deep-water port,"[8.0, 76.5]","[8.0, 77.0]","[8.5, 77.0]","[8.5, 76.5]"
Andaman Sea Underwater Volcano Monitoring Area,Geological Hazard Observation Zone,Monitoring of Barren Island volcano and seismic activities,"[12.0, 93.5]","[12.0, 94.5]","[13.0, 94.5]","[13.0, 93.5]"
Lakshadweep Uninhabited Island Surveillance Network,Remote Sensor Array,Early warning system for unauthorized activities,"[10.0, 71.5]","[10.0, 74.0]","[12.5, 74.0]","[12.5, 71.5]"
Bhavnagar-Pipavav Coastal Security Corridor,Multi-Port Security Zone,Coordinated security for multiple ports in Gujarat,"[20.5, 71.0]","[20.5, 72.5]","[22.0, 72.5]","[22.0, 71.0]"
Paradip-Dhamra Integrated Maritime Surveillance Area,Multi-Sensor Coastal Monitoring Zone,Comprehensive maritime domain awareness for Odisha coast,"[20.0, 86.0]","[20.0, 87.5]","[21.0, 87.5]","[21.0, 86.0]"
Gahirmatha Marine Sanctuary Patrol Zone,Marine Wildlife Protection Area,Protection of Olive Ridley turtle nesting sites and anti-poaching operations,"[20.5, 86.5]","[20.5, 87.5]","[21.0, 87.5]","[21.0, 86.5]"
INS Kadamba Extended Maritime Security Zone,Naval Base Operational Area,Expanded security perimeter for Karwar naval base,"[14.5, 73.5]","[14.5, 74.5]","[15.5, 74.5]","[15.5, 73.5]"
Kori Creek Border Patrol Sector,Maritime Border Surveillance Area,Monitoring of India-Pakistan maritime border in Gujarat,"[23.0, 68.0]","[23.0, 69.0]","[24.0, 69.0]","[24.0, 68.0]"
Kakinada-Pudimadaka Offshore Development Security Zone,Oil and Gas Infrastructure Protection Area,Security of offshore drilling platforms and subsea pipelines,"[16.5, 82.0]","[16.5, 83.0]","[17.5, 83.0]","[17.5, 82.0]"
Andaman Trunk Route Patrol Sector,Inter-Island Communication Security Zone,Protection of submarine communication cables between islands,"[10.0, 92.0]","[10.0, 93.0]","[13.0, 93.0]","[13.0, 92.0]"
Katchatheevu Island Monitoring Zone,Disputed Territory Surveillance Area,Monitoring of fishing activities and territorial waters near Sri Lanka,"[9.0, 79.5]","[9.0, 80.0]","[9.5, 80.0]","[9.5, 79.5]"
Kollam-Kanyakumari Coastal Radar Network,Integrated Coastal Surveillance System,Continuous monitoring of southwestern coastal waters,"[8.0, 76.5]","[8.0, 77.5]","[9.0, 77.5]","[9.0, 76.5]"
Chilika Lake Naval Air Station Operational Zone,Naval Aviation Exercise Area,Training and operations for maritime patrol aircraft,"[19.5, 85.0]","[19.5, 86.0]","[20.0, 86.0]","[20.0, 85.0]"
Dwarka-Okha Coastal Defense Battery Range,Coastal Artillery Training Area,Live-fire exercises for shore-based anti-ship missiles,"[22.0, 68.5]","[22.0, 69.5]","[23.0, 69.5]","[23.0, 68.5]"
Lakshadweep Islands Maritime Surveillance Triangle,Remote Island Chain Monitoring Area,Comprehensive surveillance of Lakshadweep archipelago,"[8.0, 71.0]","[8.0, 74.0]","[12.0, 74.0]","[12.0, 71.0]"
Gulf of Khambhat Tidal Energy Security Zone,Renewable Energy Infrastructure Protection Area,Security for tidal power projects and related installations,"[21.0, 72.0]","[21.0, 73.0]","[22.0, 73.0]","[22.0, 72.0]"
Andaman Sea Exclusive Economic Zone Patrol Sector,Extended Maritime Jurisdiction Area,Enforcement of EEZ rights and resource protection,"[6.0, 91.0]","[6.0, 95.0]","[14.0, 95.0]","[14.0, 91.0]"
Kochi-Mangalore Offshore Wind Farm Security Corridor,Renewable Energy Asset Protection Zone,Security for offshore wind installations along southwest coast,"[9.5, 75.0]","[9.5, 76.0]","[13.0, 76.0]","[13.0, 75.0]"
Gopalpur-Puri Integrated Coastal Defense Network,Multi-Layer Coastal Security Zone,Coordinated coastal surveillance and defense operations,"[19.0, 84.5]","[19.0, 86.5]","[20.0, 86.5]","[20.0, 84.5]"
Saurashtra Peninsula Anti-Trafficking Patrol Zone,Counter-Smuggling Operations Area,Prevention of drug trafficking and contraband smuggling,"[20.5, 69.0]","[20.5, 72.0]","[23.0, 72.0]","[23.0, 69.0]"
Kavatti Island Forward Operating Base,Remote Naval Outpost,Extended range patrols and surveillance in southern Lakshadweep,"[10.5, 72.5]","[10.5, 73.0]","[11.0, 73.0]","[11.0, 72.5]"
Vizag-Gangavaram Port Complex Security Zone,Multi-Port Maritime Security Area,Integrated security for adjacent major ports,"[17.5, 83.0]","[17.5, 83.5]","[18.0, 83.5]","[18.0, 83.0]"
Netrani Island Live Fire Exercise Zone,Naval Gunnery Range,Offshore area for naval artillery and missile testing,"[14.0, 74.0]","[14.0, 74.5]","[14.5, 74.5]","[14.5, 74.0]"
Andaman Nicobar Command Joint Forces Training Area,Tri-Service Exercise Zone,"Combined operations training for navy, army, and air force","[11.5, 92.0]","[11.5, 93.0]","[13.0, 93.0]","[13.0, 92.0]"
Kanyakumari-Tuticorin Coastal Security Corridor,Integrated Maritime Border Surveillance Zone,Monitoring of southern tip of Indian peninsula,"[8.0, 77.5]","[8.0, 78.5]","[9.0, 78.5]","[9.0, 77.5]"
Porbandar-Okha Offshore Patrol Vessel Operating Area,Coast Guard Patrol Zone,Regular patrols to combat illegal fishing and smuggling,"[21.5, 68.5]","[21.5, 70.0]","[23.0, 70.0]","[23.0, 68.5]"
Kavaratti Underwater Domain Awareness Center,Submarine Detection and Tracking Zone,Monitoring subsurface activities in central Arabian Sea,"[9.5, 71.5]","[9.5, 73.0]","[11.0, 73.0]","[11.0, 71.5]"
Paradip-Haldia Offshore Security Zone,Critical Maritime Infrastructure Protection Area,Security for offshore oil rigs and pipelines,"[20.5, 87.0]","[20.5, 88.5]","[22.0, 88.5]","[22.0, 87.0]"
Little Andaman Island Forward Operating Base,Southern Naval Outpost,Extended range operations in southern Bay of Bengal,"[10.0, 92.0]","[10.0, 93.0]","[11.0, 93.0]","[11.0, 92.0]"
Sundarbans Riverine Patrol Network,Mangrove Forest Maritime Security Zone,Anti-smuggling and environmental protection operations,"[21.5, 88.5]","[21.5, 89.5]","[22.5, 89.5]","[22.5, 88.5]"
Karwar Underwater Ranges and Measurement Facility,Submarine and Torpedo Testing Area,Calibration and performance testing of submarine systems,"[14.5, 73.5]","[14.5, 74.0]","[15.0, 74.0]","[15.0, 73.5]"
Kalpeni-Minicoy Islands Maritime Patrol Sector,Inter-Island Security Corridor,Monitoring of sea lanes between southern Lakshadweep islands,"[8.0, 72.5]","[8.0, 74.0]","[10.0, 74.0]","[10.0, 72.5]"
Chilika Lake Naval Test Facility,Naval Systems Evaluation Zone,Testing of naval equipment in brackish water conditions,"[19.5, 85.0]","[19.5, 85.5]","[20.0, 85.5]","[20.0, 85.0]"
Lakshadweep Sea Extended Anti-Piracy Patrol Zone,Far Sea Counter-Piracy Area,Long-range patrols to combat piracy in western Arabian Sea,"[8.0, 68.0]","[8.0, 72.0]","[12.0, 72.0]","[12.0, 68.0]"
Daman-Diu Coastal Security Corridor,Integrated Coastal Surveillance Zone,Monitoring of maritime activities in Union Territories,"[20.0, 72.5]","[20.0, 73.0]","[21.0, 73.0]","[21.0, 72.5]"
Bhitarkanika Mangrove Maritime Eco-Security Zone,Environmental Protection and Security Area,Biodiversity conservation and anti-poaching operations,"[20.5, 86.5]","[20.5, 87.5]","[21.0, 87.5]","[21.0, 86.5]"
Vizag Submarine Communication Test Range,Underwater Communications Evaluation Area,Testing and development of submarine communication systems,"[17.0, 83.0]","[17.0, 84.0]","[18.0, 84.0]","[18.0, 83.0]"
Andaman Sea Humanitarian Assistance and Disaster Relief Staging Area,HADR Preparedness Zone,Prepositioning for rapid response to natural disasters,"[11.0, 92.0]","[11.0, 94.0]","[13.0, 94.0]","[13.0, 92.0]"
Lakshadweep-Malabar Coast Integrated Maritime Surveillance Sector,Extended Maritime Domain Awareness Zone,Comprehensive monitoring of approaches to southwest coast,"[8.0, 72.0]","[8.0, 76.0]","[14.0, 76.0]","[14.0, 72.0]"
